#    L    TT             EE             BB             TE          
     2   0.592019E+04   0.522745E-01   0.104490E-05   0.480097E+00
     3   0.658426E+04   0.864751E-01   0.209003E-05   0.102020E+01
     4   0.676791E+04   0.971630E-01   0.348389E-05   0.247382E+01
     5   0.673048E+04   0.857028E-01   0.522678E-05   0.368171E+01
     6   0.661238E+04   0.629545E-01   0.731908E-05   0.426464E+01
     7   0.646431E+04   0.400365E-01   0.976123E-05   0.428845E+01
     8   0.629862E+04   0.234095E-01   0.125537E-04   0.397251E+01
     9   0.613128E+04   0.142397E-01   0.156972E-04   0.352860E+01
    10   0.596754E+04   0.104641E-01   0.191921E-04   0.307646E+01
    11   0.581163E+04   0.924328E-02   0.230393E-04   0.270227E+01
    12   0.566408E+04   0.859623E-02   0.272395E-04   0.244240E+01
    13   0.552334E+04   0.768178E-02   0.317934E-04   0.228153E+01
    14   0.538894E+04   0.670813E-02   0.367018E-04   0.219214E+01
    15   0.526103E+04   0.595713E-02   0.419655E-04   0.214706E+01
    16   0.513976E+04   0.562619E-02   0.475855E-04   0.212441E+01
    17   0.502497E+04   0.572162E-02   0.535626E-04   0.212003E+01
    18   0.491561E+04   0.601083E-02   0.598977E-04   0.213136E+01
    19   0.481210E+04   0.634500E-02   0.665918E-04   0.213792E+01
    20   0.471243E+04   0.668793E-02   0.736456E-04   0.212137E+01
    21   0.461690E+04   0.710281E-02   0.810602E-04   0.210424E+01
    22   0.452580E+04   0.773931E-02   0.888364E-04   0.210857E+01
    23   0.443874E+04   0.863435E-02   0.969750E-04   0.211852E+01
    24   0.435551E+04   0.976239E-02   0.105477E-03   0.211386E+01
    25   0.427585E+04   0.111322E-01   0.114343E-03   0.209440E+01
    26   0.419933E+04   0.127188E-01   0.123574E-03   0.207035E+01
    27   0.412599E+04   0.144918E-01   0.133171E-03   0.206605E+01
    28   0.405551E+04   0.164498E-01   0.143134E-03   0.210136E+01
    29   0.398797E+04   0.185978E-01   0.153464E-03   0.215893E+01
