#           k/h    P           
 0.99999997E-04 0.12427491E+04
 0.10202013E-03 0.12638345E+04
 0.10408108E-03 0.12851652E+04
 0.10618366E-03 0.13067378E+04
 0.10832871E-03 0.13285491E+04
 0.11051710E-03 0.13505945E+04
 0.11274968E-03 0.13728698E+04
 0.11502737E-03 0.13953695E+04
 0.11735109E-03 0.14180885E+04
 0.11972173E-03 0.14410210E+04
 0.12214028E-03 0.14641605E+04
 0.12460767E-03 0.14875002E+04
 0.12712492E-03 0.15110327E+04
 0.12969300E-03 0.15347501E+04
 0.13231297E-03 0.15586443E+04
 0.13498588E-03 0.15827063E+04
 0.13771278E-03 0.16069268E+04
 0.14049475E-03 0.16312957E+04
 0.14333293E-03 0.16558026E+04
 0.14622846E-03 0.16804369E+04
 0.14918247E-03 0.17051869E+04
 0.15219615E-03 0.17300406E+04
 0.15527071E-03 0.17549857E+04
 0.15840739E-03 0.17800089E+04
 0.16160744E-03 0.18050969E+04
 0.16487212E-03 0.18302357E+04
 0.16820275E-03 0.18554109E+04
 0.17160067E-03 0.18806077E+04
 0.17506724E-03 0.19058107E+04
 0.17860383E-03 0.19310043E+04
 0.18221186E-03 0.19561724E+04
 0.18589280E-03 0.19812987E+04
 0.18964807E-03 0.20063669E+04
 0.19347922E-03 0.20313600E+04
 0.19738778E-03 0.20562603E+04
 0.20137527E-03 0.20810508E+04
 0.20544330E-03 0.21057146E+04
 0.20959355E-03 0.21302341E+04
 0.21382760E-03 0.21545916E+04
 0.21814722E-03 0.21787693E+04
 0.22255408E-03 0.22027502E+04
 0.22704997E-03 0.22265173E+04
 0.23163669E-03 0.22500542E+04
 0.23631606E-03 0.22733435E+04
 0.24108996E-03 0.22963682E+04
 0.24596031E-03 0.23191130E+04
 0.25092901E-03 0.23415632E+04
 0.25599814E-03 0.23637039E+04
 0.26116965E-03 0.23855200E+04
 0.26644560E-03 0.24069978E+04
 0.27182818E-03 0.24281245E+04
 0.27731949E-03 0.24488889E+04
 0.28292168E-03 0.24692803E+04
 0.28863709E-03 0.24892871E+04
 0.29446793E-03 0.25088997E+04
 0.30041661E-03 0.25281101E+04
 0.30648540E-03 0.25469121E+04
 0.31267683E-03 0.25652998E+04
 0.31899329E-03 0.25832673E+04
 0.32543740E-03 0.26008096E+04
 0.33201167E-03 0.26179253E+04
 0.33871876E-03 0.26346138E+04
 0.34556136E-03 0.26508748E+04
 0.35254212E-03 0.26667087E+04
 0.35966394E-03 0.26821174E+04
 0.36692963E-03 0.26971047E+04
 0.37434211E-03 0.27116770E+04
 0.38190430E-03 0.27258401E+04
 0.38961932E-03 0.27396008E+04
 0.39749016E-03 0.27529668E+04
 0.40552000E-03 0.27659490E+04
 0.41371203E-03 0.27785583E+04
 0.42206954E-03 0.27908071E+04
 0.43059592E-03 0.28027078E+04
 0.43929456E-03 0.28142742E+04
 0.44816890E-03 0.28255215E+04
 0.45722249E-03 0.28364666E+04
 0.46645897E-03 0.28471265E+04
 0.47588209E-03 0.28575186E+04
 0.48549555E-03 0.28676606E+04
 0.49530319E-03 0.28775730E+04
 0.50530903E-03 0.28872754E+04
 0.51551696E-03 0.28967886E+04
 0.52593107E-03 0.29061333E+04
 0.53655554E-03 0.29153311E+04
 0.54739468E-03 0.29244041E+04
 0.55845280E-03 0.29333745E+04
 0.56973431E-03 0.29422656E+04
 0.58124372E-03 0.29510999E+04
