#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c        ISW            log_grow       pert_vel    
   0.994668E-05   0.272797E+08   0.272797E+08   0.363585E+08   0.363581E+08   0.272823E+08   0.272797E+08   0.272797E+08   0.272894E+08  -0.472655E+00   0.637550E+07   0.637550E+07   0.642433E+01   0.719629E+06   0.767548E+00  -0.640991E+14
   0.109829E-04   0.272782E+08   0.272782E+08   0.363534E+08   0.363529E+08   0.272808E+08   0.272782E+08   0.272782E+08   0.272879E+08  -0.472629E+00   0.637535E+07   0.637535E+07   0.709339E+01   0.590392E+06   0.767475E+00  -0.580498E+14
   0.121272E-04   0.272764E+08   0.272764E+08   0.363472E+08   0.363466E+08   0.272790E+08   0.272764E+08   0.272764E+08   0.272861E+08  -0.472598E+00   0.637517E+07   0.637517E+07   0.783208E+01   0.484391E+06   0.767388E+00  -0.525712E+14
   0.133906E-04   0.272742E+08   0.272742E+08   0.363396E+08   0.363388E+08   0.272768E+08   0.272742E+08   0.272742E+08   0.272839E+08  -0.472560E+00   0.637495E+07   0.637495E+07   0.864761E+01   0.397450E+06   0.767280E+00  -0.476094E+14
   0.147857E-04   0.272715E+08   0.272715E+08   0.363303E+08   0.363294E+08   0.272741E+08   0.272715E+08   0.272715E+08   0.272812E+08  -0.472513E+00   0.637469E+07   0.637469E+07   0.954795E+01   0.326141E+06   0.767150E+00  -0.431155E+14
   0.163261E-04   0.272682E+08   0.272682E+08   0.363190E+08   0.363179E+08   0.272708E+08   0.272683E+08   0.272682E+08   0.272780E+08  -0.472457E+00   0.637437E+07   0.637437E+07   0.105419E+02   0.267653E+06   0.766991E+00  -0.390455E+14
   0.180270E-04   0.272643E+08   0.272643E+08   0.363052E+08   0.363039E+08   0.272668E+08   0.272643E+08   0.272643E+08   0.272740E+08  -0.472388E+00   0.637397E+07   0.637397E+07   0.116391E+02   0.219681E+06   0.766797E+00  -0.353593E+14
   0.199051E-04   0.272594E+08   0.272594E+08   0.362885E+08   0.362868E+08   0.272619E+08   0.272594E+08   0.272594E+08   0.272691E+08  -0.472304E+00   0.637350E+07   0.637349E+07   0.128503E+02   0.180335E+06   0.766561E+00  -0.320206E+14
   0.219788E-04   0.272535E+08   0.272535E+08   0.362680E+08   0.362660E+08   0.272560E+08   0.272535E+08   0.272535E+08   0.272632E+08  -0.472201E+00   0.637291E+07   0.637291E+07   0.141871E+02   0.148063E+06   0.766273E+00  -0.289967E+14
   0.242687E-04   0.272463E+08   0.272463E+08   0.362431E+08   0.362406E+08   0.272487E+08   0.272463E+08   0.272463E+08   0.272560E+08  -0.472076E+00   0.637220E+07   0.637220E+07   0.156626E+02   0.121593E+06   0.765923E+00  -0.262579E+14
   0.267970E-04   0.272376E+08   0.272375E+08   0.362127E+08   0.362097E+08   0.272399E+08   0.272376E+08   0.272376E+08   0.272472E+08  -0.471925E+00   0.637133E+07   0.637133E+07   0.172909E+02   0.998825E+05   0.765497E+00  -0.237772E+14
   0.295888E-04   0.272269E+08   0.272269E+08   0.361758E+08   0.361721E+08   0.272292E+08   0.272269E+08   0.272269E+08   0.272366E+08  -0.471740E+00   0.637028E+07   0.637028E+07   0.190877E+02   0.820749E+05   0.764979E+00  -0.215302E+14
   0.326714E-04   0.272139E+08   0.272139E+08   0.361308E+08   0.361263E+08   0.272161E+08   0.272139E+08   0.272139E+08   0.272236E+08  -0.471515E+00   0.636899E+07   0.636899E+07   0.210700E+02   0.674686E+05   0.764348E+00  -0.194948E+14
   0.360752E-04   0.271981E+08   0.271981E+08   0.360760E+08   0.360705E+08   0.272002E+08   0.271981E+08   0.271981E+08   0.272078E+08  -0.471241E+00   0.636743E+07   0.636743E+07   0.232566E+02   0.554878E+05   0.763581E+00  -0.176511E+14
   0.398336E-04   0.271789E+08   0.271789E+08   0.360093E+08   0.360027E+08   0.271809E+08   0.271789E+08   0.271789E+08   0.271886E+08  -0.470908E+00   0.636553E+07   0.636552E+07   0.256682E+02   0.456605E+05   0.762650E+00  -0.159809E+14
   0.439836E-04   0.271556E+08   0.271556E+08   0.359283E+08   0.359202E+08   0.271575E+08   0.271556E+08   0.271556E+08   0.271652E+08  -0.470504E+00   0.636321E+07   0.636321E+07   0.283271E+02   0.375991E+05   0.761520E+00  -0.144678E+14
   0.485659E-04   0.271273E+08   0.271273E+08   0.358297E+08   0.358199E+08   0.271290E+08   0.271273E+08   0.271273E+08   0.271369E+08  -0.470013E+00   0.636040E+07   0.636040E+07   0.312577E+02   0.309861E+05   0.760150E+00  -0.130969E+14
   0.536256E-04   0.270930E+08   0.270929E+08   0.357100E+08   0.356980E+08   0.270944E+08   0.270930E+08   0.270930E+08   0.271025E+08  -0.469417E+00   0.635698E+07   0.635698E+07   0.344865E+02   0.255606E+05   0.758490E+00  -0.118548E+14
   0.592125E-04   0.270513E+08   0.270513E+08   0.355647E+08   0.355501E+08   0.270525E+08   0.270514E+08   0.270513E+08   0.270608E+08  -0.468696E+00   0.635283E+07   0.635283E+07   0.380421E+02   0.211089E+05   0.756482E+00  -0.107293E+14
   0.653814E-04   0.270010E+08   0.270010E+08   0.353884E+08   0.353707E+08   0.270018E+08   0.270010E+08   0.270010E+08   0.270104E+08  -0.467823E+00   0.634780E+07   0.634779E+07   0.419555E+02   0.174556E+05   0.754058E+00  -0.970924E+13
   0.721930E-04   0.269402E+08   0.269401E+08   0.351749E+08   0.351533E+08   0.269406E+08   0.269402E+08   0.269402E+08   0.269495E+08  -0.466768E+00   0.634170E+07   0.634169E+07   0.462593E+02   0.144567E+05   0.751137E+00  -0.878470E+13
   0.797142E-04   0.268668E+08   0.268667E+08   0.349165E+08   0.348904E+08   0.268668E+08   0.268668E+08   0.268668E+08   0.268761E+08  -0.465495E+00   0.633433E+07   0.633432E+07   0.509884E+02   0.119941E+05   0.747626E+00  -0.794659E+13
   0.880190E-04   0.267785E+08   0.267785E+08   0.346045E+08   0.345729E+08   0.267779E+08   0.267785E+08   0.267785E+08   0.267878E+08  -0.463965E+00   0.632542E+07   0.632540E+07   0.561794E+02   0.997076E+04   0.743420E+00  -0.718668E+13
   0.971891E-04   0.266726E+08   0.266726E+08   0.342285E+08   0.341902E+08   0.266713E+08   0.266726E+08   0.266726E+08   0.266818E+08  -0.462129E+00   0.631468E+07   0.631466E+07   0.618699E+02   0.830715E+04   0.738397E+00  -0.649755E+13
   0.107314E-03   0.265460E+08   0.265460E+08   0.337764E+08   0.337300E+08   0.265438E+08   0.265460E+08   0.265460E+08   0.265550E+08  -0.459933E+00   0.630176E+07   0.630174E+07   0.680980E+02   0.693788E+04   0.732426E+00  -0.587245E+13
   0.118495E-03   0.263952E+08   0.263951E+08   0.332343E+08   0.331783E+08   0.263920E+08   0.263952E+08   0.263952E+08   0.264041E+08  -0.457318E+00   0.628627E+07   0.628624E+07   0.749011E+02   0.580928E+04   0.725363E+00  -0.530529E+13
   0.130840E-03   0.262165E+08   0.262163E+08   0.325867E+08   0.325192E+08   0.262119E+08   0.262164E+08   0.262164E+08   0.262251E+08  -0.454217E+00   0.626775E+07   0.626772E+07   0.823147E+02   0.487727E+04   0.717060E+00  -0.479057E+13
   0.144471E-03   0.260057E+08   0.260055E+08   0.318162E+08   0.317352E+08   0.259995E+08   0.260056E+08   0.260057E+08   0.260141E+08  -0.450562E+00   0.624570E+07   0.624566E+07   0.903700E+02   0.410565E+04   0.707369E+00  -0.432331E+13
   0.159522E-03   0.257588E+08   0.257586E+08   0.309042E+08   0.308071E+08   0.257507E+08   0.257587E+08   0.257588E+08   0.257670E+08  -0.446280E+00   0.621958E+07   0.621953E+07   0.990911E+02   0.346476E+04   0.696151E+00  -0.389901E+13
   0.176142E-03   0.254717E+08   0.254715E+08   0.298310E+08   0.297151E+08   0.254613E+08   0.254716E+08   0.254717E+08   0.254796E+08  -0.441301E+00   0.618878E+07   0.618872E+07   0.108492E+03   0.293031E+04   0.683292E+00  -0.351365E+13
   0.194493E-03   0.251408E+08   0.251406E+08   0.285771E+08   0.284395E+08   0.251275E+08   0.251407E+08   0.251408E+08   0.251483E+08  -0.435562E+00   0.615271E+07   0.615264E+07   0.118570E+03   0.248251E+04   0.668714E+00  -0.316358E+13
   0.214755E-03   0.247631E+08   0.247628E+08   0.271244E+08   0.269619E+08   0.247463E+08   0.247629E+08   0.247630E+08   0.247702E+08  -0.429010E+00   0.611077E+07   0.611069E+07   0.129302E+03   0.210529E+04   0.652398E+00  -0.284555E+13
   0.237129E-03   0.243366E+08   0.243362E+08   0.254582E+08   0.252676E+08   0.243156E+08   0.243364E+08   0.243365E+08   0.243432E+08  -0.421612E+00   0.606240E+07   0.606230E+07   0.140637E+03   0.178572E+04   0.634394E+00  -0.255667E+13
   0.261834E-03   0.238609E+08   0.238604E+08   0.235698E+08   0.233482E+08   0.238347E+08   0.238607E+08   0.238608E+08   0.238670E+08  -0.413359E+00   0.600713E+07   0.600701E+07   0.152486E+03   0.151347E+04   0.614841E+00  -0.229433E+13
   0.289112E-03   0.233373E+08   0.233368E+08   0.214603E+08   0.212052E+08   0.233050E+08   0.233371E+08   0.233372E+08   0.233428E+08  -0.404276E+00   0.594463E+07   0.594449E+07   0.164713E+03   0.128043E+04   0.593969E+00  -0.205623E+13
   0.319233E-03   0.227693E+08   0.227687E+08   0.191439E+08   0.188538E+08   0.227294E+08   0.227690E+08   0.227692E+08   0.227741E+08  -0.394421E+00   0.587474E+07   0.587457E+07   0.177125E+03   0.108023E+04   0.572102E+00  -0.184033E+13
